date,tempHigh,tempAvg,VPAvg,RHAvg,groundTempAvg,temp_5,temp1_5
2017-10-29,17.2,11.5,6.5,45.6,12.1,17.6,20.2
2017-10-30,13.2,7.7,2.8,27.4,10.1,16.9,20.1
2017-10-31,16,10.4,7,54.3,11.4,16,20
2017-11-01,18.1,14.4,11.8,72.4,14.5,16,19.9
2017-11-02,18,15.5,13.8,78.8,14.6,16.3,19.7
2017-11-03,16.6,12.3,9.9,66,12.8,16.6,19.6
2017-11-04,13.7,7.8,5,47.9,8.6,16.1,19.5
2017-11-05,15.4,8.4,5.8,52.5,7.9,15.4,19.4
2017-11-06,16.5,11.4,8.5,64.5,11.9,15,19.3
2017-11-07,18.4,14.4,9.9,61.4,14.4,15.1,19.1
2017-11-08,17.2,13.1,8.1,53.3,13.9,15.6,19
2017-11-09,16.8,9.4,4.4,39.6,8.8,15.3,18.9
2017-11-10,15.9,9.8,7.2,56.3,8.3,14.9,18.8
2017-11-11,10.7,5.9,4,42.9,5.2,14.2,18.6
2017-11-12,11.4,5.3,5,57.1,3.8,13.4,18.5
2017-11-13,11.8,8.4,7.2,64.4,6.8,12.8,18.3
2017-11-14,11.4,7.5,4.4,42.5,6.1,12.9,18.2
2017-11-15,6.5,3.2,2.9,38.3,2.6,12.4,18
2017-11-16,6.4,1,1.9,30.3,1.6,11.4,17.8
2017-11-17,5.8,3,3,39.4,1.6,10.7,17.6
2017-11-18,2.6,-2.1,2,38.5,0.4,10.3,17.4
2017-11-19,3.5,-1.6,2,37.8,-0.8,9.5,17.1
2017-11-20,4.2,-0.4,3.3,55.3,-0.3,9,16.9
2017-11-21,8.1,1.3,3.5,55.6,0.8,8.5,16.6
2017-11-22,10.8,4.3,4.6,54.8,2.8,8.6,16.3
2017-11-23,4.7,0.9,3.2,49.3,0.9,8.7,16.1
2017-11-24,2.9,-0.4,3.7,62.5,1.2,8.4,15.8
2017-11-25,7.3,3,6.3,77.6,1.1,8.1,15.6
2017-11-26,7.6,3.3,5.5,71.6,3.5,7.9,15.4
2017-11-27,9.5,2.5,3.8,53,1.9,8,15.1
2017-11-28,11.2,6.4,6.2,64.1,3.9,7.8,14.9
2017-11-29,8.1,3.2,4,48.3,4.3,8.3,14.7
2017-11-30,2.7,-2.4,1.3,26.8,-0.2,8.2,14.5
2017-12-01,3.1,-2.2,2.7,49.4,-1.9,7.4,14.4
2017-12-02,8.1,1.9,4.1,59.9,0.4,6.8,14.2
2017-12-03,8.1,4.9,7.2,83.1,4.6,6.9,14
2017-12-04,4.5,-1.2,2.9,48.1,1.2,7.3,13.8
2017-12-05,-0.4,-4.2,1.8,40.1,-2.7,6.8,13.6
2017-12-06,6,0.2,4.5,72.6,0.4,6.1,13.4
2017-12-07,4.6,0.7,4.2,64.5,1.7,6.1,13.3
2017-12-08,-0.5,-3.8,1.9,41.3,-1.7,6.1,13.1
2017-12-09,5.4,-0.5,2.7,46.1,-1,5.6,12.9
2017-12-10,6.7,1.1,4.6,67.9,-0.2,5.4,12.7
2017-12-11,-2.5,-7.7,1.5,40.5,-3.2,5,12.5
2017-12-12,-5.2,-9.4,1.2,41.9,-6,4.6,12.4
2017-12-13,-4.4,-8.7,1.3,42,-6.4,4.3,12.1
2017-12-14,-1.9,-6.6,1.6,42.9,-5.4,4,11.9
2017-12-15,0.9,-3,2.6,52.6,-3,3.9,11.8
2017-12-16,-2.6,-5.7,1.7,43.1,-4.4,3.8,11.7
2017-12-17,-2.3,-6.7,1.4,38.1,-5.7,3.6,11.5
2017-12-18,3.3,-1.6,4.4,80,-1.6,3.6,11.3
2017-12-19,-1,-3.9,2.2,49.4,-2,3.1,10.8
2017-12-20,-0.1,-3.9,3.2,68,-2.6,3.2,10.8
2017-12-21,4.6,-0.9,4,71.4,-2.2,3.2,10.6
2017-12-22,6.6,3.4,5.2,66.6,0.4,3.2,10.5
2017-12-23,8.7,6.1,7.1,75.8,1.7,3.2,10.3
2017-12-24,5.7,2.9,6.3,82,1.5,3.1,10.1
2017-12-25,5,-2.1,2.3,43.1,-1.6,2.8,10
2017-12-26,-1.1,-3.8,2,41.8,-2.5,2.8,9.9
2017-12-27,-2.6,-6.9,1.1,31.4,-4.6,2.8,9.6
2017-12-28,0.8,-2.1,2.6,47,-1.7,2.9,9.6
2017-12-29,6,2.1,4.8,67,0.4,2.9,9.4
2017-12-30,4.5,1.4,5.4,79.5,-0.2,2.9,9.3
2017-12-31,3.3,-0.3,3.2,54.4,0.2,2.8,9.2
2018-01-01,3.8,-1.3,2.1,39.1,-1.7,2.7,9
2018-01-02,1.8,-1.8,2.2,42,-2.3,2.7,8.9
2018-01-03,-0.4,-4.7,1.8,42.3,-3.4,2.6,8.9
2018-01-04,-0.7,-4.7,1.8,43,-3.3,2.6,8.7
2018-01-05,1.6,-3,2.4,48.4,-2.6,2.6,8.7
2018-01-06,2.9,-2.8,2.2,45.8,-3.1,2.5,8.6
2018-01-07,2.8,-0.8,2.4,42.1,-2.2,2.5,8.5
2018-01-08,4,1.3,3.4,51.9,0.4,2.5,8.4
2018-01-09,-1.2,-4.2,2.7,59.4,-1.2,2.4,8.3
2018-01-10,-4.8,-7.5,1.8,52,-2.9,2.4,8.3
2018-01-11,-7.4,-11.1,1.3,49.8,-5.6,2.2,8.1
2018-01-12,-5.4,-10.2,1,35.4,-6.1,2,8
2018-01-13,-1.2,-4.4,3,67.3,-2.8,2,7.9
2018-01-14,5.4,0.6,4,64.1,-1.1,2,7.9
2018-01-15,7.7,4.7,5.4,63.9,1.5,2,7.8
2018-01-16,6.8,3.5,4.6,59.1,0.7,2,7.7
2018-01-17,8.7,4.5,5.4,64.1,1.7,2,7.6
2018-01-18,4.5,2.1,4.3,59.6,1.3,2,7.6
2018-01-19,5.5,1,2.8,43,0.3,1.9,7.4
2018-01-20,6.9,2.2,4.2,57.6,0.2,2,7.5
2018-01-21,5.5,0.4,2.2,36.6,-0.5,2,7.4
2018-01-22,4,0.2,3.5,56.5,-0.2,2,7.3
2018-01-23,-5.3,-11.7,1.1,42,-4.4,2,7.2
2018-01-24,-10.7,-14.2,0.7,31.6,-8.3,1.9,7.1
2018-01-25,-9.5,-14,0.7,32,-8.5,1.7,7
2018-01-26,-10.7,-14.8,0.7,34.9,-9.3,1.4,7
2018-01-27,-3.5,-9.9,1.1,37.4,-7.5,1.2,6.9
2018-01-28,-1.2,-6.3,1.4,36,-4.4,1.1,6.9
2018-01-29,-4.7,-8.5,1.1,35,-6.2,1,6.8
2018-01-30,-0.8,-5.3,2.8,62,-4.6,0.8,6.8
2018-01-31,0,-2.6,2.7,54.5,-1.8,1,6.7
2018-02-01,1.2,-4,1.9,44.1,-3.1,0.9,6.6
2018-02-02,3.8,-2.4,2.5,51.1,-2.8,0.9,6.5
2018-02-03,-2.1,-7.3,1.7,47,-3.7,0.9,6.4
2018-02-04,-5.2,-9.5,1.2,40.9,-6.6,0.7,6.3
